,mz,mzmin,mzmax,rt,rtmin,rtmax,npeaks,Group1,Group2,X20110726_Junfeng_POS_5901,X20110726_Junfeng_POS_6301,X20110726_Junfeng_POS_6501,X20110726_Junfeng_POS_6901,X20110726_Junfeng_POS_7101
1,137.112264,137.1114763,137.1130486,132.995192,131.5743374,134.0273395,45,25,20,519.5219511,449.4449709,482.8473527,481.7111325,562.0723943
2,150.0857003,150.085389,150.0860142,132.995192,131.8077343,134.0273395,45,25,20,6059.024419,5687.330359,6329.82157,5704.724965,6671.135511
3,159.0919963,159.0908445,159.09977,133.7290446,132.8587882,136.613604,45,25,20,261.8150608,383.7211618,139.1398156,291.9905443,323.9539478
4,190.0832279,190.0800167,190.0846543,133.0756261,132.2536376,134.0470284,45,25,20,808.8126271,977.7163796,773.2336265,776.1162923,885.4968786
5,371.2282742,371.2261002,371.2296364,162.0710977,161.6682357,162.7715399,45,25,20,674.508279,847.3562846,588.3547566,524.623244,558.8398891
6,393.2099056,393.2068077,393.2119592,162.0561546,161.6682357,162.7715399,45,25,20,999.421323,1155.128719,832.2199944,792.0891954,853.2946414
7,394.2136421,394.206668,394.2188611,162.0353134,161.0822211,162.7715399,43,24,19,190.4160731,222.6900046,162.6093625,139.2996064,161.8503243
8,432.312108,432.3,432.3164,265.8486871,264.5094884,266.4755214,45,25,20,53.8118701,83.05008518,5590.910046,106.0060715,1907.193112
9,433.3156331,433.3031579,433.3178652,265.8058532,263.287277,266.326298,45,25,20,22.68248033,24.74484321,1756.588686,28.05424216,568.3559161
10,434.318047,434.3092308,434.3241807,265.7435684,261.7792904,267.1524625,38,22,16,9.897929417,8.978479081,346.260033,9.20202401,116.3587405
11,450.3220874,450.3198025,450.3265434,265.70734,261.9755362,266.2609529,45,25,20,29.6662069,64.38510847,1058.156999,70.83563819,343.7292754
12,451.3238461,451.32,451.3375,265.6449885,262.4337206,267.0404039,44,25,19,5.625215643,19.64191623,347.7593135,14.86480894,81.97719003
13,472.305245,472.3,472.3176471,265.8111392,264.5094884,266.4712298,44,25,19,5.938757153,13.42984507,1076.46383,18.07849499,407.0407018
14,473.3081912,473.3,473.3166667,265.7881877,263.2866183,266.8279468,44,25,19,0.699914785,2.120501748,297.4875229,4.954936313,114.3581255
15,488.2881735,488.2791782,488.298767,265.9511043,265.2731942,266.6818984,41,25,16,5.281275902,89.06472141,491.2205012,16.98834745,125.3457185
16,496.3425284,496.3397702,496.3445125,376.3198809,375.9048323,376.9233019,45,25,20,20367.42064,7863.983729,2696.189597,43870.9482,15684.37088
17,497.344841,497.3395229,497.3498573,376.3198809,375.9048323,376.9233019,45,25,20,5826.496015,2243.899473,747.9380593,11318.9756,4689.723808
18,498.3480159,498.3401085,498.357307,376.3185014,375.3444667,376.9421387,45,25,20,999.8302531,466.3597528,149.5813429,2646.188703,446.5047092
19,499.3505722,499.3401578,499.3582248,376.3013913,375.2207807,377.822077,45,25,20,192.8510469,86.59691769,33.20295382,504.7190802,202.5994413
20,518.3239012,518.3213148,518.3262492,376.3198809,375.9048323,376.9233019,45,25,20,1362.170642,554.0021602,189.078017,2943.670227,1003.962333
21,519.3278488,519.3241395,519.3344569,376.2503678,375.6522064,376.8679563,45,25,20,355.7333136,140.2795455,44.45053771,780.9875229,279.4299325
