,mz,mzmin,mzmax,rt,rtmin,rtmax,npeaks,CRR,HCC,X20100524_LT_serum_and_plasma_POS_34401,X20100524_LT_serum_and_plasma_POS_35501,X20100524_LT_serum_and_plasma_POS_35601,X20100524_LT_serum_and_plasma_POS_41101,X20100524_LT_serum_and_plasma_POS_42001,X20100524_LT_serum_and_plasma_POS_42101
1,69.03419342,69.03321767,69.04,245.92731,232.9387206,246.9026396,453,258,120,625.64603,1099.268707,1085.138228,1050.722511,1063.436804,1149.045224
2,69.03475191,69.03273355,69.04,139.1728749,137.9480864,140.2645211,378,258,120,74.72040586,132.3111803,116.6844611,30.77175751,389.0462943,424.640566
3,69.07038398,69.0651719,69.08,33.99405922,22.1075701,36.28299592,433,257,119,411.8990438,297.269514,288.6894146,161.7262942,323.1232275,288.7254698
4,69.07054528,69.06498697,69.07923696,373.0314658,364.482466,376.2825876,368,245,120,202.9040807,296.2329594,294.0201161,410.1495823,427.6517397,376.6920992
5,70.06564022,70.06,70.06644093,22.76049883,20.6112632,23.41842126,378,258,120,672.4523491,551.9022201,590.6839658,236.145254,201.4043614,210.8535565
6,71.08544963,71.08,71.08677153,379.2224186,365.7595673,396.2037289,408,258,120,303.3162276,491.9301629,574.0414639,553.3290394,323.7800785,437.7821533
7,71.08602105,71.08378786,71.08667869,415.3436422,407.0341482,417.8893959,243,149,73,466.9777648,396.5787932,593.9247512,509.2075543,326.4389454,409.4276638
8,72.08108465,72.07939036,72.08189769,23.7091296,22.93064581,24.44701936,378,258,120,2439.857999,1257.615858,1207.073784,232.2008983,733.3341838,663.2024796
9,72.08069086,72.07956042,72.08235662,130.8501594,126.3459392,146.5840461,381,258,120,28.83034409,83.60821469,95.1070535,158.7218363,341.5973622,278.6141396
10,79.02165193,79.0157798,79.02364666,23.96981684,16.35130492,24.82506381,378,258,120,297.5613189,276.085397,295.1525867,55.67730726,60.50182919,70.51995992
11,79.05464164,79.05390213,79.06,52.28008576,37.06784079,55.57713876,380,258,120,569.5278354,318.0428778,292.0294515,489.7369042,588.6902465,520.8714216
