,mz,mzmin,mzmax,rt,rtmin,rtmax,npeaks,CRR,HCC,X20100607_LT_serum_and_plasma_NEG_41101,X20100607_LT_serum_and_plasma_NEG_42001,X20100607_LT_serum_and_plasma_NEG_42101,isotopes,adduct,pcgroup,two batch common,three batch common,B1 flg,B2 flg,B3 flg
1,51.23408513,51.22365518,51.24364142,284.0386618,281.790347,285.4608238,363,252,111,112.8061681,186.8823839,219.5137073,,,13,0,0,1,0,0
2,51.41304829,51.40374269,51.42319492,284.0684255,281.790347,287.6839541,372,255,116,107.2750305,173.3516818,245.9140181,,,13,0,0,1,0,0
3,68.99722298,68.99641878,68.99809279,26.38968836,25.03143047,28.47885125,373,255,118,27264.43176,31509.43367,27371.09486,[144][M]+,,211,1,0,1,1,0
4,70,69.98615032,70.0035538,26.20984799,22.97724725,30.28312359,355,244,111,609.3509713,492.6727396,337.4485873,[144][M+1]+,,211,0,0,1,0,0
5,71.01527846,71.00612062,71.02321448,20.65651989,19.2063031,28.80793217,369,251,117,430.8303009,398.0530239,456.5668632,,,328,1,0,1,1,0
6,71.05129543,71.04502361,71.06,81.60029912,69.94191148,83.05176428,375,255,118,1566.992035,570.3335526,517.5218286,,,27,0,0,1,0,0
7,85.02901093,85.0205,85.03224631,25.389333,22.95348297,38.79596159,378,253,118,263.7684158,189.5259127,118.8495829,,,9,1,0,1,1,0
8,87.0079779,87,87.0093651,24.74808227,22.08603514,43.2069839,378,255,118,512.0293155,385.6104855,362.9257929,,,9,1,0,1,1,0
9,89.02360249,89.02,89.02460712,25.48453579,23.0369425,26.96614612,373,255,118,8225.170209,8715.53526,8183.699112,,[M-H]- 90.0323,209,1,0,1,1,0
10,90.02668649,90.02,90.03026165,25.48453579,22.99275309,29.09107297,373,255,118,376.5439418,406.8220054,376.5182408,,,212,1,0,1,1,0
11,91.00261487,91,91.00355283,104.5795664,102.1738906,105.7250327,373,255,118,295.3989235,266.1309367,227.9457579,,,167,1,0,1,1,0
12,92.02601987,92.02521695,92.02682207,139.5970786,138.9766099,140.3084119,373,255,118,3250.754621,2727.991007,3177.610766,,,1,1,0,1,1,0
13,92.92824744,92.92718545,92.93176301,21.08699236,20.21407649,57.06966513,391,255,118,9334.262734,8863.485085,9803.548639,,,66,1,0,1,1,0
14,93.0299869,93.02381575,93.03746817,139.3372343,130.0592984,141.016311,388,249,115,441.528437,178.624606,224.7320439,,,1,1,0,1,1,0
15,94.92504546,94.92401765,94.92610521,21.06316344,20.21407649,21.58898643,373,255,118,6247.811821,5957.760259,6690.595136,,,66,1,0,1,1,0
16,96.92202031,96.91950889,96.92468384,21.07068733,20.20764152,21.58898643,373,255,118,1106.553945,1038.125785,1125.683208,,,66,1,0,1,1,0
17,102.9561739,102.9549631,102.9572621,19.34854051,18.92177797,20.1644904,373,255,118,2862.663704,2406.282784,2506.726116,,,123,1,1,1,1,1
18,103.0386513,103.037738,103.04,39.27028829,34.81120818,39.9865805,373,255,118,5463.229401,4824.983345,3533.889409,,,85,1,1,1,1,1
19,104.9533774,104.9517561,104.9547754,19.36940748,18.92177797,20.1644904,373,255,118,943.0709825,850.5845145,862.0338936,,,123,1,1,1,1,1
20,106.0283491,106.02,106.0310468,146.6922032,145.0705553,147.5969577,371,254,117,37.24460506,94.94898172,22.56337043,,,299,1,1,1,1,1
21,107.0487906,107.04,107.0534453,112.7010338,108.4658239,131.1860633,370,248,116,260.7735763,1878.796772,1718.026835,,,3,0,0,1,0,0
22,111.0074662,111.0062766,111.0100999,24.91793242,23.62526422,27.27308474,373,255,118,1627.984113,1208.788966,1120.935018,,[M-2H+Na]- 90.0323,209,1,1,1,1,1
23,112.9844836,112.98,112.9855302,26.72964453,18.00005161,29.09107297,381,255,118,24489.67098,28830.99421,22134.26054,[35][M]+,,17,1,1,1,1,1
24,113.0229936,113.0149204,113.0331085,20.93788673,19.03847548,42.50777167,384,255,118,201.0055801,159.6494581,342.0415856,,,294,1,0,1,1,0
25,113.9869905,113.9777654,113.9926381,26.70780594,18.00005161,29.85359142,374,255,118,588.4739794,715.6042559,845.6444758,[35][M+1]+,,17,0,0,1,0,0
26,114.9872436,114.9752539,114.9934788,16.70000273,15.67188392,28.86949603,369,220,100,141.8951119,63.49106323,55.06367366,,,175,0,0,1,0,0
27,115.0385144,115.0371542,115.04,51.26897267,37.17810127,54.25802826,386,255,118,1624.337912,3092.436928,2677.777714,,,143,1,0,1,1,0
